"police_station_id","station_name","police_staff","inspector_id","inspector_name","age","joining_date","salary","no_of_cases","max_case_type","min_cases_type","avg_solving_day","station_pincode","station_zone","city","state"
"H7-001478","ST-2",17,"SI-12547","Akshay Kumar",46,"2001-08-09",58000,47,"Fraud","riots",6,"485715","EAST","Mumbai","Maharashtra"
"T1-103219","ST-3",38,"SI-12548","Anup Kumar",47,"2001-08-09",58000,49,"riots","claims of negligence",11,"485717","WEST","Delhi","Delhi"
"T1-103220","ST-4",16,"SI-12549","Sahil Rao",60,"2001-01-01",170526,51,"marriage affairs","dowry demands",15,"485719","SOUTH","Bangalore","Karnataka"
"T1-103221","ST-5",17,"SI-12550","Walter Ochoa",63,"2001-01-01",230139,53,"Divorce","robbery",7,"485721","NORTH","Hyderabad","Andhra Pradesh"
"T1-103222","ST-6",19,"SI-12551","Jenesis Mack",46,"2001-01-01",162380,55,"claims of negligence","unfair dismissal",12,"485723","CENTRAL","Ahmedabad","Arunachal Pradesh"
"T1-103223","ST-7",13,"SI-12552","Esteban Phan",61,"2001-01-01",216712,57,"appeal against HR","discrimination",10,"485725","EAST","Chennai","Assam"
"T1-103224","ST-8",37,"SI-12553","Moises Hanna",50,"2001-01-01",243508,59,"Workplace harassment","appeal against HR",6,"485727","WEST","Kolkata","Bihar"
"T1-103225","ST-9",31,"SI-12554","Sloane Warner",47,"2001-01-01",243542,61,"Murder","Workplace harassment",14,"485729","SOUTH","Surat","Chhattisgarh"
"T1-103226","ST-10",13,"SI-12555","Elora Houston",53,"2001-01-01",130260,63,"robbery","Murder",7,"485731","NORTH","Pune","Goa"
"T1-103227","ST-11",16,"SI-12556","Sylas Pineda",64,"2001-01-01",218087,65,"dowry demands","theft",13,"485733","CENTRAL","Jaipur","Gujarat"
"T1-103228","ST-12",13,"SI-12557","Nola Doyle",62,"2001-01-01",97386,67,"robbery","cybercrime",7,"485735","EAST","Lucknow","Haryana"
"T1-103229","ST-13",34,"SI-12558","Kashton Santana",58,"2001-01-01",200999,69,"unfair dismissal","sedition",8,"485737","WEST","Kanpur","Himachal Pradesh"
"T1-103230","ST-14",27,"SI-12559","Jaxton Person",64,"2001-01-01",85864,71,"theft","Property dispute",11,"485739","SOUTH","Nagpur","Jharkhand"
"T1-103231","ST-15",16,"SI-12560","Brecken Stuart",52,"2001-01-01",161936,73,"cybercrime","marriage affairs",9,"485741","NORTH","Indore","Karnataka"
"T1-103232","ST-16",12,"SI-12561","Whitley Webster",42,"2001-01-01",211580,75,"sedition","Divorce",14,"485743","CENTRAL","Thane","Kerala"
"T1-103233","ST-17",24,"SI-12562","Shawn Shepherd",59,"2001-01-01",92414,77,"Property dispute","Fraud",8,"485745","EAST","Bhopal","Madhya Pradesh"
"T1-103234","ST-18",23,"SI-12563","Katalina Willis",43,"2001-01-01",72530,79,"Fraud","riots",4,"485747","WEST","Visakhapatnam","Maharashtra"
"T1-103235","ST-19",21,"SI-12564","Remington Reynolds",58,"2001-01-01",126701,81,"riots","claims of negligence",3,"485749","SOUTH","Vadodara","Manipur"
"T1-103236","ST-20",21,"SI-12565","Lorenzo Yu",55,"2001-01-01",206966,83,"marriage affairs","dowry demands",7,"485751","NORTH","Firozabad","Meghalaya"
"T1-103237","ST-21",13,"SI-12566","Zora Tyler",51,"2001-01-01",167540,85,"Divorce","robbery",6,"485753","CENTRAL","Ludhiana","Mizoram"
"T1-103238","ST-22",39,"SI-12567","Madison Rosas",47,"2001-01-01",47547,87,"claims of negligence","unfair dismissal",9,"485755","EAST","Rajkot","Nagaland"
"T1-103239","ST-23",37,"SI-12568","Remi Franco",63,"2001-01-01",113756,89,"appeal against HR","discrimination",7,"485757","WEST","Agra","Odisha"
"T1-103240","ST-24",25,"SI-12569","Charleigh Wong",57,"2001-01-01",118781,91,"Workplace harassment","appeal against HR",4,"485759","SOUTH","Siliguri","Punjab"
"T1-103241","ST-25",18,"SI-12570","Cristian Marks",58,"2001-01-01",168789,93,"Murder","Workplace harassment",5,"485761","NORTH","Nashik","Rajasthan"
"T1-103242","ST-26",32,"SI-12571","Mohammad Brock",60,"2001-01-01",80437,95,"robbery","Murder",15,"485763","CENTRAL","Faridabad","Sikkim"
